ID,Parameter_ID,Name,Description
p-1-n,p-1,-,
p-1-y,p-1,+,
p-2-n,p-2,-,
p-2-y,p-2,+,
p-3-n,p-3,-,
p-3-y,p-3,+,
p-4-n,p-4,-,
p-4-y,p-4,+,
p-5-n,p-5,-,
p-5-y,p-5,+,
p-6-n,p-6,-,
p-6-y,p-6,+,
p-7-n,p-7,-,
p-7-y,p-7,+,
p-8-n,p-8,-,
p-8-y,p-8,+,
p-9-n,p-9,-,
p-9-y,p-9,+,
p-10-n,p-10,-,
p-10-y,p-10,+,
p-11-n,p-11,-,
p-11-y,p-11,+,
p-12-n,p-12,-,
p-12-y,p-12,+,
p-13-n,p-13,-,
p-13-y,p-13,+,
p-14-n,p-14,-,
p-14-y,p-14,+,
p-15-n,p-15,-,
p-15-y,p-15,+,
p-16-n,p-16,-,
p-16-y,p-16,+,
p-17-n,p-17,-,
p-17-y,p-17,+,
p-18-n,p-18,-,
p-18-y,p-18,+,
p-19-n,p-19,-,
p-19-y,p-19,+,
p-20-n,p-20,-,
p-20-y,p-20,+,
p-21-n,p-21,-,
p-21-y,p-21,+,
